2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[1301]	valid_0's rmse: 0.0298825	valid_0's l2: 0.000892962
[1302]	valid_0's rmse: 0.0298823	valid_0's l2: 0.000892951
[1303]	valid_0's rmse: 0.029882	valid_0's l2: 0.000892931
[1304]	valid_0's rmse: 0.0298817	valid_0's l2: 0.000892917
[1305]	valid_0's rmse: 0.0298817	valid_0's l2: 0.000892914
[1306]	valid_0's rmse: 0.0298816	valid_0's l2: 0.000892908
[1307]	valid_0's rmse: 0.0298814	valid_0's l2: 0.000892897
[1308]	valid_0's rmse: 0.0298812	valid_0's l2: 0.000892888
[1309]	valid_0's rmse: 0.0298809	valid_0's l2: 0.000892869
[1310]	valid_0's rmse: 0.0298806	valid_0's l2: 0.00089285
[1311]	valid_0's rmse: 0.0298802	valid_0's l2: 0.000892829
[1312]	valid_0's rmse: 0.02988	valid_0's l2: 0.000892812
[1313]	valid_0's rmse: 0.0298794	valid_0's l2: 0.00089278
[1314]	valid_0's rmse: 0.0298793	valid_0's l2: 0.000892772
[1315]	valid_0's rmse: 0.029879	valid_0's l2: 0.000892757
[1316]	valid_0's rmse: 0.0298789	valid_0's l2: 0.00089275
[1317]	valid_0's rmse: 0.0298786	valid_0's l2: 0.000892731
[1318]	valid_0's rmse: 0.0298785	valid_0's l2: 0.000892722
[1319]	valid_0's rmse: 0.0298784	valid_0's l2: 0.000892716
[1320]	valid_0's rmse: 0.0298784	valid_0's l2: 0.000892721
[1321]	valid_0's rmse: 0.0298783	valid_0's l2: 0.000892712
[1322]	valid_0's rmse: 0.0298781	valid_0's l2: 0.000892704
[1323]	valid_0's rmse: 0.029878	valid_0's l2: 0.000892692
[1324]	valid_0's rmse: 0.029878	valid_0's l2: 0.000892695
[1325]	valid_0's rmse: 0.029878	valid_0's l2: 0.000892698
[1326]	valid_0's rmse: 0.0298778	valid_0's l2: 0.00089268
[1327]	valid_0's rmse: 0.029878	valid_0's l2: 0.000892695
[1328]	valid_0's rmse: 0.0298779	valid_0's l2: 0.000892688
[1329]	valid_0's rmse: 0.0298775	valid_0's l2: 0.000892666
[1330]	valid_0's rmse: 0.0298776	valid_0's l2: 0.000892672
[1331]	valid_0's rmse: 0.0298775	valid_0's l2: 0.000892664
[1332]	valid_0's rmse: 0.0298771	valid_0's l2: 0.000892639
[1333]	valid_0's rmse: 0.0298767	valid_0's l2: 0.00089262
[1334]	valid_0's rmse: 0.0298768	valid_0's l2: 0.000892625
[1335]	valid_0's rmse: 0.0298767	valid_0's l2: 0.000892618
[1336]	valid_0's rmse: 0.0298766	valid_0's l2: 0.000892611
[1337]	valid_0's rmse: 0.0298765	valid_0's l2: 0.000892605
[1338]	valid_0's rmse: 0.0298763	valid_0's l2: 0.000892592
[1339]	valid_0's rmse: 0.029876	valid_0's l2: 0.000892573
[1340]	valid_0's rmse: 0.0298759	valid_0's l2: 0.000892568
[1341]	valid_0's rmse: 0.0298756	valid_0's l2: 0.000892554
[1342]	valid_0's rmse: 0.0298756	valid_0's l2: 0.000892551
[1343]	valid_0's rmse: 0.0298755	valid_0's l2: 0.000892544
[1344]	valid_0's rmse: 0.0298753	valid_0's l2: 0.000892534
[1345]	valid_0's rmse: 0.0298752	valid_0's l2: 0.00089253
[1346]	valid_0's rmse: 0.0298751	valid_0's l2: 0.000892523
[1347]	valid_0's rmse: 0.029875	valid_0's l2: 0.000892515
[1348]	valid_0's rmse: 0.0298745	valid_0's l2: 0.000892488
[1349]	valid_0's rmse: 0.0298743	valid_0's l2: 0.000892476
[1350]	valid_0's rmse: 0.0298744	valid_0's l2: 0.000892481
[1351]	valid_0's rmse: 0.0298741	valid_0's l2: 0.000892461
[1352]	valid_0's rmse: 0.0298739	valid_0's l2: 0.000892449
[1353]	valid_0's rmse: 0.0298738	valid_0's l2: 0.000892444
[1354]	valid_0's rmse: 0.0298736	valid_0's l2: 0.000892433
[1355]	valid_0's rmse: 0.0298735	valid_0's l2: 0.000892428
[1356]	valid_0's rmse: 0.0298733	valid_0's l2: 0.000892414
[1357]	valid_0's rmse: 0.0298731	valid_0's l2: 0.000892405
[1358]	valid_0's rmse: 0.0298734	valid_0's l2: 0.000892417
[1359]	valid_0's rmse: 0.0298733	valid_0's l2: 0.000892411
[1360]	valid_0's rmse: 0.0298731	valid_0's l2: 0.000892404
[1361]	valid_0's rmse: 0.0298728	valid_0's l2: 0.000892387
[1362]	valid_0's rmse: 0.0298728	valid_0's l2: 0.000892385
[1363]	valid_0's rmse: 0.0298728	valid_0's l2: 0.000892385
[1364]	valid_0's rmse: 0.0298728	valid_0's l2: 0.000892382
[1365]	valid_0's rmse: 0.0298727	valid_0's l2: 0.000892378
[1366]	valid_0's rmse: 0.0298731	valid_0's l2: 0.000892404
[1367]	valid_0's rmse: 0.0298731	valid_0's l2: 0.0008924
[1368]	valid_0's rmse: 0.0298728	valid_0's l2: 0.000892385
[1369]	valid_0's rmse: 0.0298726	valid_0's l2: 0.000892371
[1370]	valid_0's rmse: 0.0298723	valid_0's l2: 0.000892353
[1371]	valid_0's rmse: 0.0298719	valid_0's l2: 0.000892332
[1372]	valid_0's rmse: 0.0298719	valid_0's l2: 0.000892328
[1373]	valid_0's rmse: 0.0298719	valid_0's l2: 0.00089233
[1374]	valid_0's rmse: 0.0298714	valid_0's l2: 0.000892303
[1375]	valid_0's rmse: 0.0298714	valid_0's l2: 0.000892301
[1376]	valid_0's rmse: 0.0298712	valid_0's l2: 0.000892291
[1377]	valid_0's rmse: 0.0298711	valid_0's l2: 0.000892284
[1378]	valid_0's rmse: 0.029871	valid_0's l2: 0.000892274
[1379]	valid_0's rmse: 0.0298712	valid_0's l2: 0.000892287
[1380]	valid_0's rmse: 0.0298711	valid_0's l2: 0.000892282
[1381]	valid_0's rmse: 0.0298709	valid_0's l2: 0.000892268
[1382]	valid_0's rmse: 0.0298706	valid_0's l2: 0.000892251
[1383]	valid_0's rmse: 0.0298704	valid_0's l2: 0.000892242
[1384]	valid_0's rmse: 0.0298704	valid_0's l2: 0.000892242
[1385]	valid_0's rmse: 0.0298705	valid_0's l2: 0.000892246
[1386]	valid_0's rmse: 0.0298704	valid_0's l2: 0.000892241
[1387]	valid_0's rmse: 0.0298702	valid_0's l2: 0.000892227
[1388]	valid_0's rmse: 0.0298702	valid_0's l2: 0.000892227
[1389]	valid_0's rmse: 0.0298702	valid_0's l2: 0.000892228
[1390]	valid_0's rmse: 0.0298698	valid_0's l2: 0.000892205
[1391]	valid_0's rmse: 0.0298697	valid_0's l2: 0.000892197
[1392]	valid_0's rmse: 0.0298695	valid_0's l2: 0.000892185
[1393]	valid_0's rmse: 0.0298693	valid_0's l2: 0.000892178
[1394]	valid_0's rmse: 0.0298692	valid_0's l2: 0.000892168
[1395]	valid_0's rmse: 0.029869	valid_0's l2: 0.000892157
[1396]	valid_0's rmse: 0.029869	valid_0's l2: 0.000892155
[1397]	valid_0's rmse: 0.0298687	valid_0's l2: 0.000892141
[1398]	valid_0's rmse: 0.0298685	valid_0's l2: 0.000892126
[1399]	valid_0's rmse: 0.0298684	valid_0's l2: 0.00089212
[1400]	valid_0's rmse: 0.0298684	valid_0's l2: 0.000892122
[1401]	valid_0's rmse: 0.0298683	valid_0's l2: 0.000892113
[1402]	valid_0's rmse: 0.0298683	valid_0's l2: 0.000892118
[1403]	valid_0's rmse: 0.0298683	valid_0's l2: 0.000892117
[1404]	valid_0's rmse: 0.0298682	valid_0's l2: 0.000892108
[1405]	valid_0's rmse: 0.0298679	valid_0's l2: 0.00089209
[1406]	valid_0's rmse: 0.0298677	valid_0's l2: 0.000892081
[1407]	valid_0's rmse: 0.0298675	valid_0's l2: 0.00089207
[1408]	valid_0's rmse: 0.0298675	valid_0's l2: 0.000892067
[1409]	valid_0's rmse: 0.0298674	valid_0's l2: 0.000892065
[1410]	valid_0's rmse: 0.0298672	valid_0's l2: 0.00089205
[1411]	valid_0's rmse: 0.0298673	valid_0's l2: 0.000892057
[1412]	valid_0's rmse: 0.0298671	valid_0's l2: 0.000892045
[1413]	valid_0's rmse: 0.029867	valid_0's l2: 0.000892037
[1414]	valid_0's rmse: 0.0298666	valid_0's l2: 0.000892014
[1415]	valid_0's rmse: 0.0298665	valid_0's l2: 0.000892007
[1416]	valid_0's rmse: 0.0298662	valid_0's l2: 0.000891992
[1417]	valid_0's rmse: 0.029866	valid_0's l2: 0.00089198
[1418]	valid_0's rmse: 0.029866	valid_0's l2: 0.00089198
[1419]	valid_0's rmse: 0.0298661	valid_0's l2: 0.000891982
[1420]	valid_0's rmse: 0.0298658	valid_0's l2: 0.000891968
[1421]	valid_0's rmse: 0.0298657	valid_0's l2: 0.00089196
[1422]	valid_0's rmse: 0.0298654	valid_0's l2: 0.000891944
[1423]	valid_0's rmse: 0.0298654	valid_0's l2: 0.000891945
[1424]	valid_0's rmse: 0.0298653	valid_0's l2: 0.000891934
[1425]	valid_0's rmse: 0.029865	valid_0's l2: 0.000891917
[1426]	valid_0's rmse: 0.0298649	valid_0's l2: 0.000891912
[1427]	valid_0's rmse: 0.029865	valid_0's l2: 0.000891917
[1428]	valid_0's rmse: 0.0298646	valid_0's l2: 0.000891896
[1429]	valid_0's rmse: 0.0298643	valid_0's l2: 0.000891875
[1430]	valid_0's rmse: 0.0298641	valid_0's l2: 0.000891865
[1431]	valid_0's rmse: 0.0298641	valid_0's l2: 0.000891864
[1432]	valid_0's rmse: 0.0298639	valid_0's l2: 0.00089185
[1433]	valid_0's rmse: 0.0298634	valid_0's l2: 0.000891825
[1434]	valid_0's rmse: 0.0298633	valid_0's l2: 0.000891814
[1435]	valid_0's rmse: 0.0298633	valid_0's l2: 0.000891814
[1436]	valid_0's rmse: 0.029863	valid_0's l2: 0.000891799
[1437]	valid_0's rmse: 0.0298628	valid_0's l2: 0.000891786
[1438]	valid_0's rmse: 0.0298629	valid_0's l2: 0.00089179
[1439]	valid_0's rmse: 0.0298627	valid_0's l2: 0.000891783
[1440]	valid_0's rmse: 0.0298629	valid_0's l2: 0.000891792
[1441]	valid_0's rmse: 0.0298627	valid_0's l2: 0.000891782
[1442]	valid_0's rmse: 0.0298624	valid_0's l2: 0.000891762
[1443]	valid_0's rmse: 0.0298623	valid_0's l2: 0.000891759
[1444]	valid_0's rmse: 0.0298623	valid_0's l2: 0.000891759
[1445]	valid_0's rmse: 0.0298622	valid_0's l2: 0.000891749
[1446]	valid_0's rmse: 0.0298619	valid_0's l2: 0.000891735
[1447]	valid_0's rmse: 0.0298619	valid_0's l2: 0.00089173
[1448]	valid_0's rmse: 0.0298616	valid_0's l2: 0.000891714
[1449]	valid_0's rmse: 0.0298614	valid_0's l2: 0.000891701
[1450]	valid_0's rmse: 0.0298612	valid_0's l2: 0.000891689
[1451]	valid_0's rmse: 0.0298611	valid_0's l2: 0.000891684
[1452]	valid_0's rmse: 0.0298609	valid_0's l2: 0.000891671
[1453]	valid_0's rmse: 0.0298609	valid_0's l2: 0.000891672
[1454]	valid_0's rmse: 0.0298608	valid_0's l2: 0.000891665
[1455]	valid_0's rmse: 0.0298607	valid_0's l2: 0.000891662
[1456]	valid_0's rmse: 0.0298605	valid_0's l2: 0.00089165
[1457]	valid_0's rmse: 0.0298603	valid_0's l2: 0.000891638
[1458]	valid_0's rmse: 0.0298602	valid_0's l2: 0.000891631
[1459]	valid_0's rmse: 0.0298599	valid_0's l2: 0.000891613
[1460]	valid_0's rmse: 0.0298597	valid_0's l2: 0.000891601
[1461]	valid_0's rmse: 0.0298598	valid_0's l2: 0.000891606
[1462]	valid_0's rmse: 0.0298596	valid_0's l2: 0.000891598
[1463]	valid_0's rmse: 0.0298596	valid_0's l2: 0.000891593
[1464]	valid_0's rmse: 0.0298596	valid_0's l2: 0.000891594
[1465]	valid_0's rmse: 0.0298594	valid_0's l2: 0.000891584
[1466]	valid_0's rmse: 0.0298595	valid_0's l2: 0.000891591
[1467]	valid_0's rmse: 0.0298594	valid_0's l2: 0.000891585
[1468]	valid_0's rmse: 0.0298592	valid_0's l2: 0.000891573
[1469]	valid_0's rmse: 0.0298593	valid_0's l2: 0.000891579
[1470]	valid_0's rmse: 0.0298593	valid_0's l2: 0.00089158
[1471]	valid_0's rmse: 0.0298594	valid_0's l2: 0.000891585
[1472]	valid_0's rmse: 0.0298592	valid_0's l2: 0.000891573
[1473]	valid_0's rmse: 0.0298591	valid_0's l2: 0.000891565
[1474]	valid_0's rmse: 0.0298591	valid_0's l2: 0.000891566
[1475]	valid_0's rmse: 0.029859	valid_0's l2: 0.00089156
[1476]	valid_0's rmse: 0.0298589	valid_0's l2: 0.000891553
[1477]	valid_0's rmse: 0.0298587	valid_0's l2: 0.000891541
[1478]	valid_0's rmse: 0.0298586	valid_0's l2: 0.000891538
[1479]	valid_0's rmse: 0.0298585	valid_0's l2: 0.000891533
[1480]	valid_0's rmse: 0.0298584	valid_0's l2: 0.000891523
[1481]	valid_0's rmse: 0.0298582	valid_0's l2: 0.000891514
[1482]	valid_0's rmse: 0.0298582	valid_0's l2: 0.00089151
[1483]	valid_0's rmse: 0.029858	valid_0's l2: 0.0008915
[1484]	valid_0's rmse: 0.0298579	valid_0's l2: 0.000891497
[1485]	valid_0's rmse: 0.0298579	valid_0's l2: 0.000891491
[1486]	valid_0's rmse: 0.0298575	valid_0's l2: 0.000891468
[1487]	valid_0's rmse: 0.0298575	valid_0's l2: 0.000891468
[1488]	valid_0's rmse: 0.0298574	valid_0's l2: 0.000891464
[1489]	valid_0's rmse: 0.0298575	valid_0's l2: 0.00089147
[1490]	valid_0's rmse: 0.0298572	valid_0's l2: 0.000891452
[1491]	valid_0's rmse: 0.0298571	valid_0's l2: 0.000891447
[1492]	valid_0's rmse: 0.0298572	valid_0's l2: 0.000891455
[1493]	valid_0's rmse: 0.029857	valid_0's l2: 0.000891438
[1494]	valid_0's rmse: 0.029857	valid_0's l2: 0.000891441
[1495]	valid_0's rmse: 0.0298568	valid_0's l2: 0.000891427
[1496]	valid_0's rmse: 0.0298569	valid_0's l2: 0.000891432
[1497]	valid_0's rmse: 0.0298567	valid_0's l2: 0.000891421
[1498]	valid_0's rmse: 0.0298565	valid_0's l2: 0.000891412
[1499]	valid_0's rmse: 0.0298562	valid_0's l2: 0.000891392
[1500]	valid_0's rmse: 0.0298561	valid_0's l2: 0.000891384
[1501]	valid_0's rmse: 0.029856	valid_0's l2: 0.000891381
[1502]	valid_0's rmse: 0.0298558	valid_0's l2: 0.00089137
[1503]	valid_0's rmse: 0.0298557	valid_0's l2: 0.00089136
[1504]	valid_0's rmse: 0.0298555	valid_0's l2: 0.000891351
[1505]	valid_0's rmse: 0.0298554	valid_0's l2: 0.000891343
[1506]	valid_0's rmse: 0.0298558	valid_0's l2: 0.000891367
[1507]	valid_0's rmse: 0.0298559	valid_0's l2: 0.000891372
[1508]	valid_0's rmse: 0.0298558	valid_0's l2: 0.000891369
[1509]	valid_0's rmse: 0.0298557	valid_0's l2: 0.000891363
[1510]	valid_0's rmse: 0.0298557	valid_0's l2: 0.000891361
[1511]	valid_0's rmse: 0.0298554	valid_0's l2: 0.000891343
[1512]	valid_0's rmse: 0.0298553	valid_0's l2: 0.000891339
[1513]	valid_0's rmse: 0.0298551	valid_0's l2: 0.000891327
[1514]	valid_0's rmse: 0.0298549	valid_0's l2: 0.000891313
[1515]	valid_0's rmse: 0.0298545	valid_0's l2: 0.000891289
[1516]	valid_0's rmse: 0.0298544	valid_0's l2: 0.000891282
[1517]	valid_0's rmse: 0.0298545	valid_0's l2: 0.000891291
[1518]	valid_0's rmse: 0.0298544	valid_0's l2: 0.000891286
[1519]	valid_0's rmse: 0.0298545	valid_0's l2: 0.000891289
[1520]	valid_0's rmse: 0.0298546	valid_0's l2: 0.000891295
[1521]	valid_0's rmse: 0.0298545	valid_0's l2: 0.000891292
[1522]	valid_0's rmse: 0.0298544	valid_0's l2: 0.000891287
[1523]	valid_0's rmse: 0.0298542	valid_0's l2: 0.000891273
[1524]	valid_0's rmse: 0.029854	valid_0's l2: 0.000891263
[1525]	valid_0's rmse: 0.0298536	valid_0's l2: 0.000891235
[1526]	valid_0's rmse: 0.0298533	valid_0's l2: 0.000891222
[1527]	valid_0's rmse: 0.0298529	valid_0's l2: 0.000891196
[1528]	valid_0's rmse: 0.0298529	valid_0's l2: 0.000891196
[1529]	valid_0's rmse: 0.029853	valid_0's l2: 0.000891203
[1530]	valid_0's rmse: 0.0298529	valid_0's l2: 0.000891194
[1531]	valid_0's rmse: 0.0298528	valid_0's l2: 0.00089119
[1532]	valid_0's rmse: 0.0298528	valid_0's l2: 0.000891189
[1533]	valid_0's rmse: 0.0298529	valid_0's l2: 0.000891193
[1534]	valid_0's rmse: 0.0298523	valid_0's l2: 0.000891161
[1535]	valid_0's rmse: 0.0298521	valid_0's l2: 0.000891146
[1536]	valid_0's rmse: 0.0298519	valid_0's l2: 0.000891138
[1537]	valid_0's rmse: 0.0298518	valid_0's l2: 0.000891127
[1538]	valid_0's rmse: 0.0298517	valid_0's l2: 0.000891126
[1539]	valid_0's rmse: 0.0298517	valid_0's l2: 0.000891124
[1540]	valid_0's rmse: 0.0298518	valid_0's l2: 0.00089113
[1541]	valid_0's rmse: 0.0298518	valid_0's l2: 0.000891128
[1542]	valid_0's rmse: 0.0298517	valid_0's l2: 0.000891126
[1543]	valid_0's rmse: 0.0298518	valid_0's l2: 0.00089113
[1544]	valid_0's rmse: 0.0298515	valid_0's l2: 0.00089111
[1545]	valid_0's rmse: 0.0298515	valid_0's l2: 0.000891113
[1546]	valid_0's rmse: 0.0298515	valid_0's l2: 0.000891109
[1547]	valid_0's rmse: 0.0298513	valid_0's l2: 0.0008911
[1548]	valid_0's rmse: 0.0298511	valid_0's l2: 0.000891086
[1549]	valid_0's rmse: 0.029851	valid_0's l2: 0.000891082
[1550]	valid_0's rmse: 0.0298509	valid_0's l2: 0.000891079
[1551]	valid_0's rmse: 0.0298508	valid_0's l2: 0.000891072
[1552]	valid_0's rmse: 0.0298511	valid_0's l2: 0.000891086
[1553]	valid_0's rmse: 0.0298507	valid_0's l2: 0.000891062
[1554]	valid_0's rmse: 0.0298507	valid_0's l2: 0.000891064
[1555]	valid_0's rmse: 0.0298506	valid_0's l2: 0.000891057
[1556]	valid_0's rmse: 0.0298504	valid_0's l2: 0.000891049
[1557]	valid_0's rmse: 0.0298503	valid_0's l2: 0.000891041
[1558]	valid_0's rmse: 0.0298501	valid_0's l2: 0.000891029
[1559]	valid_0's rmse: 0.02985	valid_0's l2: 0.000891022
[1560]	valid_0's rmse: 0.0298498	valid_0's l2: 0.000891009
[1561]	valid_0's rmse: 0.0298496	valid_0's l2: 0.000890997
[1562]	valid_0's rmse: 0.0298495	valid_0's l2: 0.000890995
[1563]	valid_0's rmse: 0.0298494	valid_0's l2: 0.000890986
[1564]	valid_0's rmse: 0.0298492	valid_0's l2: 0.000890974
[1565]	valid_0's rmse: 0.0298489	valid_0's l2: 0.000890956
[1566]	valid_0's rmse: 0.0298486	valid_0's l2: 0.000890939
[1567]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890916
[1568]	valid_0's rmse: 0.0298481	valid_0's l2: 0.000890908
[1569]	valid_0's rmse: 0.0298481	valid_0's l2: 0.000890907
[1570]	valid_0's rmse: 0.0298481	valid_0's l2: 0.000890908
[1571]	valid_0's rmse: 0.0298479	valid_0's l2: 0.000890895
[1572]	valid_0's rmse: 0.0298481	valid_0's l2: 0.000890907
[1573]	valid_0's rmse: 0.029848	valid_0's l2: 0.000890902
[1574]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890914
[1575]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890912
[1576]	valid_0's rmse: 0.0298481	valid_0's l2: 0.000890912
[1577]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890916
[1578]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890916
[1579]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890916
[1580]	valid_0's rmse: 0.0298482	valid_0's l2: 0.000890914
[1581]	valid_0's rmse: 0.0298481	valid_0's l2: 0.000890911
[1582]	valid_0's rmse: 0.029848	valid_0's l2: 0.000890904
[1583]	valid_0's rmse: 0.0298479	valid_0's l2: 0.000890897
[1584]	valid_0's rmse: 0.0298475	valid_0's l2: 0.000890876
[1585]	valid_0's rmse: 0.0298475	valid_0's l2: 0.000890871
[1586]	valid_0's rmse: 0.0298473	valid_0's l2: 0.000890863
[1587]	valid_0's rmse: 0.0298474	valid_0's l2: 0.00089087
[1588]	valid_0's rmse: 0.0298473	valid_0's l2: 0.000890862
[1589]	valid_0's rmse: 0.0298473	valid_0's l2: 0.000890859
[1590]	valid_0's rmse: 0.0298472	valid_0's l2: 0.000890856
[1591]	valid_0's rmse: 0.0298473	valid_0's l2: 0.000890863
[1592]	valid_0's rmse: 0.0298471	valid_0's l2: 0.000890849
[1593]	valid_0's rmse: 0.0298468	valid_0's l2: 0.000890831
[1594]	valid_0's rmse: 0.0298467	valid_0's l2: 0.000890825
[1595]	valid_0's rmse: 0.0298468	valid_0's l2: 0.000890829
[1596]	valid_0's rmse: 0.0298465	valid_0's l2: 0.000890816
[1597]	valid_0's rmse: 0.0298465	valid_0's l2: 0.000890815
[1598]	valid_0's rmse: 0.0298466	valid_0's l2: 0.00089082
[1599]	valid_0's rmse: 0.0298466	valid_0's l2: 0.000890818
[1600]	valid_0's rmse: 0.0298464	valid_0's l2: 0.000890805
[1601]	valid_0's rmse: 0.0298461	valid_0's l2: 0.000890792
[1602]	valid_0's rmse: 0.0298463	valid_0's l2: 0.0008908
[1603]	valid_0's rmse: 0.029846	valid_0's l2: 0.000890785
[1604]	valid_0's rmse: 0.029846	valid_0's l2: 0.000890783
[1605]	valid_0's rmse: 0.0298463	valid_0's l2: 0.0008908
[1606]	valid_0's rmse: 0.0298463	valid_0's l2: 0.0008908
[1607]	valid_0's rmse: 0.0298462	valid_0's l2: 0.000890797
[1608]	valid_0's rmse: 0.0298458	valid_0's l2: 0.000890775
[1609]	valid_0's rmse: 0.029846	valid_0's l2: 0.000890785
[1610]	valid_0's rmse: 0.0298461	valid_0's l2: 0.000890788
[1611]	valid_0's rmse: 0.0298459	valid_0's l2: 0.000890777
[1612]	valid_0's rmse: 0.0298454	valid_0's l2: 0.000890749
[1613]	valid_0's rmse: 0.0298453	valid_0's l2: 0.000890743
[1614]	valid_0's rmse: 0.0298452	valid_0's l2: 0.000890738
[1615]	valid_0's rmse: 0.0298453	valid_0's l2: 0.000890743
[1616]	valid_0's rmse: 0.0298451	valid_0's l2: 0.000890732
[1617]	valid_0's rmse: 0.0298449	valid_0's l2: 0.00089072
[1618]	valid_0's rmse: 0.0298449	valid_0's l2: 0.000890716
[1619]	valid_0's rmse: 0.0298449	valid_0's l2: 0.000890718
[1620]	valid_0's rmse: 0.0298448	valid_0's l2: 0.000890715
[1621]	valid_0's rmse: 0.0298449	valid_0's l2: 0.000890716
[1622]	valid_0's rmse: 0.0298447	valid_0's l2: 0.000890707
[1623]	valid_0's rmse: 0.0298447	valid_0's l2: 0.000890704
[1624]	valid_0's rmse: 0.0298443	valid_0's l2: 0.000890684
[1625]	valid_0's rmse: 0.0298444	valid_0's l2: 0.000890688
[1626]	valid_0's rmse: 0.0298443	valid_0's l2: 0.000890683
[1627]	valid_0's rmse: 0.029844	valid_0's l2: 0.000890667
[1628]	valid_0's rmse: 0.0298437	valid_0's l2: 0.000890648
[1629]	valid_0's rmse: 0.0298437	valid_0's l2: 0.000890645
[1630]	valid_0's rmse: 0.0298436	valid_0's l2: 0.000890643
[1631]	valid_0's rmse: 0.0298436	valid_0's l2: 0.000890638
[1632]	valid_0's rmse: 0.0298437	valid_0's l2: 0.000890646
[1633]	valid_0's rmse: 0.0298436	valid_0's l2: 0.000890642
[1634]	valid_0's rmse: 0.0298436	valid_0's l2: 0.00089064
[1635]	valid_0's rmse: 0.0298437	valid_0's l2: 0.000890644
[1636]	valid_0's rmse: 0.0298436	valid_0's l2: 0.000890642
[1637]	valid_0's rmse: 0.0298435	valid_0's l2: 0.000890635
